Drug,Target
Belinostat,HDAC3
Belinostat,HDAC4
Belinostat,HDAC5
YSIL6,TNF
ATL1101,IGF1R
CTA018,CYP24A1
CTA018,VDR
Arimoclomol,SOD1
Ularitide,NPR1
Eprotirome,THRA
Eprotirome,THRB
Grn163l,SMG6
Grn163l,TERT
AT7519,CDK1
AT7519,CDK2
Anatibant,BDKRB2
Indacaterol,ADRB2
SGS518,HTR6
PSN357,PYGL
Obinepitide,NPY4R
Obinepitide,NPY2R
V1003,OPRK1
CX717,GRIA4
CX717,BDNF
CX717,GRIA1
CX717,GRIA2
ADL5859,OPRD1
MF101,ESR2
MB-07803,FBP1
AV608,TACR1
SRT501,SIRT1
TG-100801,FLT1
TG-100801,KDR
TG-100801,FLT4
TG-100801,CSK
SLV319,CNR1
AER001,IL4R
HY10275,HRH1
HY10275,HTR2A
OBE101,HRH1
Abaloparatide,PTH1R
TM30339,NPY4R
Ganaxolone,GABRA1
Ganaxolone,GABRA2
Ganaxolone,GABRA4
Ganaxolone,GABRA5
Tiomolibdate ion,APP
CDP323,ITGA4
Cimicoxib,PTGS2
LY2140023,GRM2
LY2140023,GRM3
Leptin,LEPR
Matuzumab,EGFR
Asimadoline,OPRK1
NN344,INSR
AT1391,INSR
R1295,ITGA4
R1295,ITGB4
Tanespimycin,HSP90AA1
Tanespimycin,HSP90AB1
Lobeline,CHRNA7
CR002,PDGFD
LY2181308,BIRC5
XL820,KDR
XL820,KIT
XL820,PDGFRA
CYT997,TUBA1A
CYT997,TUBA1C
CYT997,TUBA4A
CYT997,TUBA3C
CYT997,TUBA3E
CYT997,TUBB1
CYT997,TUBB2A
CYT997,TUBB2B
CYT997,TUBB4B
CYT997,TUBB3
CYT997,TUBB4A
CYT997,TUBB
CYT997,TUBB6
XL844,CHEK2
XL844,CHEK1
CAD106,APP
NGX267,CHRM1
CR665,OPRK1
KC706,MAPK14
KC706,MAPK11
KC706,MAPK12
KC706,MAPK13
LY2275796,EIF4E
AT9283,AURKA
E-2012,PSENEN
MLN0415,IKBKB
XL228,IGF1R
XL228,SRC
XL228,ABL1
XL228,ABL2
Elafibranor,PPARA
Elafibranor,PPARD
Elafibranor,PPARG
KD3010,PPARD
XL281,BRAF
XL281,RAF1
Atl146e,ADORA2A
MB07811,THRB
CYC116,AURKA
CYC116,KDR
V24343,CNR1
Egaptivon pegol,GP1BA
SD118,TNF
SD118,IL1R1
SF1126,PIK3R1
SF1126,PIK3R2
SF1126,PIK3R3
SF1126,PRKDC
SF1126,MTOR
HE3286,NFKB1
HE3286,NFKB2
PN0621,TNF
Crisaborole,PDE4A
Crisaborole,PDE4B
Crisaborole,PDE4C
Crisaborole,PDE4D
Alisertib,AURKA
Pracinostat,HDAC1
Pracinostat,HDAC2
Pracinostat,HDAC3
APD791,HTR2A
Beraprost,PTGIR
AP1081,ESR1
NRP409,THRA
Cobimetinib,MAP2K1
XL765,PIK3CA
XL765,PIK3CD
XL765,MTOR
XL019,JAK2
Methsuximide,CACNA1G
Proellex,PGR
Fibrinolysin,SERPINE1
Fibrinolysin,PLAU
Ronacaleret,CASR
Natural alpha interferon,IFNAR1
Gallium nitrate,RRM2
Gallium nitrate,ATP6V1B2
Gallium nitrate,BGLAP
Ibudilast,PDE4A
Ibudilast,PDE4B
Ibudilast,PDE4C
Ibudilast,PDE4D
Ibudilast,PDE3A
iCo-007,RAF1
Rotigotine,DRD4
Rotigotine,DRD2
Rotigotine,DRD5
Rotigotine,DRD1
Rotigotine,HTR1A
Rotigotine,ADRA2B
S-8184,TUBA4A
S-8184,BCL2
CA4P,TUBB
Vandetanib,VEGFA
Vandetanib,EGFR
Vandetanib,TEK
Vandetanib,RET
Eldecalcitol,VDR
Paclitaxel docosahexaenoic acid,BCL2
Tetomilast,PDE4D
LAX-101,PLD1
OMS-103HP,TNF
OMS-103HP,IL1R1
Cintredekin Besudotox,IL13
TP-508,FGF4
Pimavanserin,HTR2A
Pimavanserin,DRD2
TAK-475,HMGCR
MN-305,HTR1A
C1-INH,SERPING1
SO-101,HRH1
SR-123781A,F2R
SSR-126517E,F10
HZT-501,HRH2
CP-945598,CNR1
Rindopepimut,EGFR
Histamine,HRH1
Histamine,HRH2
AE-941,MMP2
INS 316,P2RY2
liposomal prostaglandin E1,GP1BA
CEP-1347,MAPK12
AZD 3355,TP53
TBC-3711,EDN1
Emricasan,CASP3
Emricasan,CASP7
Talmapimod,MAPK14
Talmapimod,TNF
Tifuvirtide,SERPINA5
GW-501516,PPARD
GW-501516,PPARA
GW 597599,TACR1
ADX-10061,CALY
CP-122721,TACR1
Canertinib,EGFR
motexafin gadolinium,TXNRD1
motexafin gadolinium,TXNRD2
motexafin gadolinium,RRM2
DAS-431 IV,CALY
ABT-510,FGF2
ABT-510,VEGFA
ADL 10-0101,OPRK1
AVI-4557,HNF4A
PX-12,TXNRD1
P54,NFKB2
P54,NFKB1
PH-284,AVPR1B
SR 121463,AVPR1B
Pozanicline,CHRNA4
Pozanicline,CHRNB2
Briakinumab,IL12B
Ezatiostat,GSTP1
OPC-28326,ADRA2C
OPC-28326,ADRA2B
ISS-1018,TLR9
NOX-700,NFKB2
NOX-700,NFKB1
Tandutinib,FLT3
Tandutinib,PDGFD
R673,TACR1
R411,ITGA4
R450,ADRA1A
R450,ADRA1B
R450,ADRA1D
VX-702,MAPK14
VX-702,TNF
SGN-30,NFKB1
SGN-30,NFKB2
omega interferon,IFNAR1
omega interferon,IFNAR2
Golotimod,TLR2
Golotimod,TLR9
WX-UK1,PLAUR
Recombinant alpha 1-antitrypsin,SERPINA1
Custirsen,ESR1
Custirsen,NFKB2
Custirsen,NFKB1
T131,PPARG
Epicept NP-1,HTR2A
Epicept NP-1,ADRA1A
Epicept NP-1,ADRA1B
Epicept NP-1,ADRA1D
Epicept NP-1,ADRA2A
Epicept NP-1,ADRA2B
Epicept NP-1,ADRA2C
Epicept NP-1,HRH1
Epicept NP-1,OPRL1
AMD-070,CXCR4
ISIS 113715,PTPN1
LI-301,HTR1A
Atiprimod,TNF
Managlinat dialanetil,FBP1
Pelitinib,EGFR
CPG 10101,TLR9
Brivaracetam,SV2A
Brivaracetam,SCN5A
Brivaracetam,SCN9A
Brivaracetam,SCN1B
Brivaracetam,SCN4B
TG100-115,PIK3CD
Naluzotan,HTR1A
Ramucirumab,KDR
NP-50301,ESR1
Palifosfamide,DNMT1
Apremilast,PDE4D
Apremilast,PDE4A
Apremilast,PDE4B
Apremilast,TNF
Apremilast,NOS3
Ustekinumab,IL12B
Ustekinumab,IL12B
FX06,CDH5
BL-1020,DRD2
BL-1020,HTR2A
NPS-2143,CASR
GTS-21,CHRNA7
Gantacurium Chloride,CHRNA3
LY-517717,F10
CYT006-AngQb,AGTR1
RPI-78M,CHRNB2
RPI-78M,CHRNA7
RPI-78M,CHRNA4
CRx-139,TNF
AVE-1625,CNR1
ALKS 27,CHRM1
ALKS 27,CHRM3
CYT007-TNFQb,TNF
ACP-104,CHRM1
ACP-104,DRD2
Andrographolide,TNF
Andrographolide,NFKB2
Andrographolide,NFKB1
Trastuzumab emtansine,ERBB2
Thrombomodulin Alfa,F5
LGD-1550,RARA
LGD-1550,RARB
LGD-1550,JUN
LM-609,ITGB3
SR 140333,TACR1
GTI 2040,RRM2
Abiraterone,CYP17A1
CNS-5161,GRIN1
Parathyroid hormone,PTH1R
Parathyroid hormone,PTH2R
Mito-4509,APP
humanized SMART Anti-IL-12 Antibody,IL12B
NCX 950,ADRB2
CLX-0921,PPARG
Rivanicline,CHRNB2
Ethyl pyruvate,TNF
Ethyl pyruvate,HMGB1
PDE4,PDE4A
AME-527,TNF
CHF 4227,ESR1
CHF 4227,ESR2
Seletracetam,SV2A
Seletracetam,CACNA1B
VEGF-AS,VEGFA
RI 624,NGF
HGS-TR2J,TNFRSF10B
rhIGFBP-3,IGF1R
OSI-930,KIT
OSI-930,FLT1
CT-011,PDCD1
Pegdinetanib,KDR
Denibulin,VEGFA
Denibulin,FLT1
Denibulin,FLT4
CVT-6883,ADORA2B
Edonerpic,APP
MK-0354,GPER1
Varlitinib,ERBB2
Varlitinib,EGFR
Contulakin-G,CACNA1B
EVT-101,RXRA
EVT-101,GRIN2B
ENMD-1198,TNFRSF11A
ENMD-1198,HIF1A
ENMD-1198,STAT3
PPL-100,SERPING1
PPL-100,SERPINA5
PPL-100,SERPINA1
Amitifadine,DRD2
TAS-108,ESR1
TAS-108,ESR2
ANZ-100,KISS1R
PR-104,TNF
SNS-032,VEGFA
Archexin,AKT1
Bardoxolone methyl,NFKBIA
RAF-265,KDR
RAF-265,BRAF
Plinabulin,TNF
PRX-07034,HTR6
Cariprazine,DRD2
Cariprazine,HTR1A
Cariprazine,HTR2A
Cariprazine,HRH1
AV-412,EGFR
AV-412,ERBB2
ZEN-012,TUBB
ZEN-012,TUBB1
ZEN-012,TUBB3
ZEN-012,TUBB4A
Olaratumab,PDGFRA
AZD-8330,MAP3K1
KAI-1455,PRKCE
SNX-5422,HSP90AA1
SNX-5422,HSP90AB1
Linsitinib,IGF1R
Lumateperone,HTR2A
Lumateperone,DRD2
ABT-869,FLT3
ABT-869,FLT1
ABT-869,KDR
ABT-869,FLT4
ABT-869,KIT
ABT-869,CSF1R
PX-478,HIF1A
Tapinarof,IL12B
ICA-105665,KCNQ1
NXN-188,NOS1
NXN-188,HTR1B
PRLX 93936,VDAC2
PRLX 93936,VDAC3
IMC-1C11,FLT1
IMC-1C11,KDR
IMC-1C11,FLT4
SNS-314,AURKA
KX-01,SRC
IRL-1620,EDNRB
SUVN-502,HTR6
Sertindole,DRD2
Sertindole,HTR2A
Sertindole,HTR6
Sertindole,ADRA1A
Sertindole,ADRA1B
Sertindole,ADRA1D
Mianserin,ADRA2A
Mianserin,HTR2A
Mianserin,HRH1
Mianserin,HTR1A
Mianserin,ADRA2C
Mianserin,HTR1F
Mianserin,ADRA2B
Mianserin,OPRK1
Mianserin,SLC6A3
Mianserin,HTR7
Mianserin,DRD2
Mianserin,HTR6
Mianserin,ADRA1A
Mianserin,ADRA1B
Mianserin,ADRA1D
Mianserin,DRD1
Mianserin,DRD5
Acetylcysteine,IKBKB
Acetylcysteine,CHUK
Acetylcysteine,GRIN2B
Acetylcysteine,GRIN1
Acetylcysteine,GRIN2A
Acetylcysteine,GRIN2D
Acetylcysteine,GRIN3A
Nylidrin,IFNAR2
Pizotifen,CHRM1
Pizotifen,CHRM3
Pizotifen,HTR2A
Pizotifen,HTR1A
Pizotifen,HTR1B
Pizotifen,HRH1
Pizotifen,ADRA1A
Pizotifen,ADRA1B
Pizotifen,ADRA1D
Pizotifen,ADRA2A
Pizotifen,ADRA2B
Pizotifen,ADRA2C
Rimonabant,CNR1
Tesofensine,SLC6A3
Istaroxime,ATP2A2
Istaroxime,ATP1A1
Lumiliximab,FCER2
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
Romidepsin,ABCC1
Elocalcitol,VDR
Seliciclib,CDK1
Seliciclib,CDK2
Seliciclib,MAPK3
Seliciclib,MAPK1
Seliciclib,CSNK1E
Icatibant,BDKRB2
Rufinamide,SCN9A
Lasofoxifene,ESR1
Lasofoxifene,ESR2
Tapentadol,OPRK1
Tapentadol,OPRD1
Hyaluronidase (Human Recombinant),TGFB1
Silodosin,ADRA1A
Silodosin,ADRA1B
Silodosin,ADRA1D
Regadenoson,ADORA2A
Asenapine,DRD2
Asenapine,HTR2A
Asenapine,HTR1A
Asenapine,HTR1B
Asenapine,HTR5A
Asenapine,HTR6
Asenapine,HTR7
Asenapine,ADRA2A
Asenapine,ADRA2B
Asenapine,ADRA2C
Asenapine,ADRA1A
Asenapine,DRD1
Asenapine,DRD4
Asenapine,HRH1
Asenapine,HRH2
Asenapine,ADRB1
Asenapine,ADRB2
Vernakalant,SCN5A
Lacosamide,SCN9A
Rivaroxaban,F10
Ocaperidone,DRD2
Ocaperidone,HRH1
Ocaperidone,ADRA1A
Ocaperidone,ADRA1B
Ocaperidone,ADRA2A
Ocaperidone,ADRA1D
Ocaperidone,ADRA2B
Ocaperidone,ADRA2C
Ocaperidone,HTR2A
Nalmefene,OPRK1
Nalmefene,OPRD1
Caldaret,SLC8A1
Ridaforolimus,MTOR
Lanoteplase,PLAUR
Lanoteplase,LAMA5
Lanoteplase,F10
Lanoteplase,FN1
Lanoteplase,LAMB1
Lanoteplase,LAMC1
Lanoteplase,LAMA1
Lanoteplase,CALR
Lanoteplase,LRP1
Lanoteplase,LAMA3
Exisulind,PDE4D
Exisulind,PDE4C
Exisulind,GSTP1
CX516,GRIA1
Amelubant,LTB4R2
Arzoxifene,ESR1
Arzoxifene,ESR2
Bimoclomol,HSF1
Droxidopa,ADRA1A
Droxidopa,ADRA1B
Droxidopa,ADRA1D
Droxidopa,ADRA2A
Droxidopa,ADRA2B
Droxidopa,ADRA2C
Droxidopa,ADRB1
Droxidopa,ADRB2
Lonidamine,CFTR
Lonidamine,HK1
Sitaxentan,EDNRB
Tocilizumab,IL6R
Alvimopan,OPRK1
Alvimopan,OPRD1
Torcetrapib,CETP
Levocetirizine,HRH1
Teriparatide,PTH1R
Temsirolimus,MTOR
Amisulpride,DRD2
Amisulpride,HTR7
Amisulpride,HTR2A
Apoptone,BCL2
Pegpleranib,PDGFB
Trodusquemine,PTPN1
Trodusquemine,SLC6A3
Tezampanel,GABBR1
Lucatumumab,CD40
Pertuzumab,ERBB2
Rilonacept,IL1RN
Xaliproden,HTR1A
Bazedoxifene,ESR1
Bazedoxifene,ESR2
Ambrisentan,EDNRB
Human C1-esterase inhibitor,C1R
Human C1-esterase inhibitor,PLAT
Idraparinux,F10
Doxercalciferol,VDR
Oxymetholone,NPPB
Armodafinil,SLC6A3
Talnetant,TACR3
Semaxanib,KDR
Dexanabinol,TNF
Dotarizine,HTR2A
Dotarizine,HTR1A
Dotarizine,CACNA1A
Lonafarnib,IGFBP3
Aprinocarsen,PRKCA
Sarizotan,HTR1A
Sarizotan,DRD2
Enrasentan,EDNRB
Lestaurtinib,FLT3
clomethiazole,GABRA1
Fradafiban,ITGB3
Sumanirole,DRD2
Sumanirole,DRD4
Propentofylline,PDE4A
Enzastaurin,PRKCB
Enzastaurin,AURKA
Enzastaurin,CHEK1
Enzastaurin,CHEK2
Enzastaurin,AKT1
Enzastaurin,PIK3R1
Onercept,TNF
Repinotan,HTR1A
Muraglitazar,PPARA
Muraglitazar,PPARG
Deramciclane,HTR2A
Resiniferatoxin,TRPV1
Ertiprotafib,PTPN1
Ertiprotafib,IKBKB
Ertiprotafib,PPARA
Ertiprotafib,PPARG
Ragaglitazar,PPARA
Ragaglitazar,PPARG
Tesaglitazar,PPARA
Tesaglitazar,PPARG
Robalzotan,HTR1A
Astaxanthin,NFKBIA
Minodronic acid,FDPS
Labradimil,BDKRB2
Bivatuzumab,CD44
Tezosentan,EDNRB
Adipiplon,GABRA1
Adipiplon,GABRA2
Adipiplon,GABRA4
Adipiplon,GABRA5
Adipiplon,GABRG3
Pazopanib,FLT1
Pazopanib,KDR
Pazopanib,FLT4
Pazopanib,PDGFRA
Pazopanib,KIT
Pazopanib,FGFR3
Pazopanib,FGF1
Pazopanib,SH2B3
Agomelatine,MTNR1A
Midostaurin,PRKCA
Midostaurin,KDR
Midostaurin,KIT
Midostaurin,PDGFRA
Midostaurin,FLT3
Lexatumumab,TNFRSF10B
Panobinostat,HDAC1
Panobinostat,HDAC2
Panobinostat,HDAC3
Panobinostat,HDAC4
Panobinostat,HDAC5
Apixaban,F10
Catumaxomab,FCGR2A
Bosutinib,BCR
Bosutinib,ABL1
Bosutinib,LYN
Bosutinib,HCK
Bosutinib,SRC
Bosutinib,CDK2
Bosutinib,MAP2K1
Bosutinib,MAP2K2
Bosutinib,CAMK2G
Flupirtine,ADRA2A
Axitinib,FLT1
Axitinib,KDR
Axitinib,FLT4
Casopitant,TACR1
Otamixaban,F10
Perifosine,AKT1
Perifosine,MAPK1
Perifosine,PRKCA
Bevasiranib,VEGFA
Liraglutide,GLP1R
Saredutant,TACR2
Pasireotide,SSTR2
Pasireotide,SSTR3
Pasireotide,SSTR5
Golimumab,TNF
Esmirtazapine,HRH1
Esmirtazapine,HTR2A
Esmirtazapine,ADRA2A
Esmirtazapine,ADRA2B
Esmirtazapine,ADRA2C
Asoprisnil,PGR
Vilazodone,HTR1A
Mepyramine,HRH1
Mevastatin,HMGCR
Xylometazoline,ADRA1A
Xylometazoline,ADRA2A
Xylometazoline,ADRA2B
Xylometazoline,ADRA1B
Xylometazoline,ADRA1D
Xylometazoline,ADRA2C
Betahistine,HRH1
Dexmethylphenidate,SLC6A3
Fesoterodine,CHRM3
Fesoterodine,CHRM1
Isometheptene,ADRA1A
Levonordefrin,ADRA2A
Levonordefrin,ADRA2B
Levonordefrin,ADRA2C
Methacholine,CHRM3
Methyltestosterone,ESR1
Naphazoline,ADRA1A
Naphazoline,ADRA2A
Nilvadipine,CACNA1C
Nilvadipine,CACNA2D1
Nilvadipine,CACNB2
Nilvadipine,CACNA1D
Nilvadipine,CACNA2D3
Norelgestromin,PGR
Fospropofol,GABRB2
Fospropofol,GABRB3
Buserelin,LHCGR
Lornoxicam,PTGS1
Lornoxicam,PTGS2
Bufuralol,ADRB1
Bufuralol,ADRB2
beta-Naphthoflavone,ESR1
beta-Naphthoflavone,AHR
Bafilomycin A1,ATP6V1A
Bafilomycin B1,ATP6V1A
Aceclofenac,PTGS2
Aceclofenac,PTGS1
Ketobemidone,OPRK1
Ketobemidone,OPRD1
Ketobemidone,GRIN1
Ketobemidone,GRIN2A
Ketobemidone,GRIN2B
Ketobemidone,GRIN2C
Ketobemidone,GRIN2D
Ketobemidone,GRIN3A
Ketobemidone,GRIN3B
Seratrodast,TBXA2R
Gavestinel,GRIN1
Gavestinel,GRIN2A
Gavestinel,GRIN2B
Gavestinel,GRIN2C
Gavestinel,GRIN2D
Gavestinel,GRIN3A
Gavestinel,GRIN3B
Drotaverine,PDE4A
Drotaverine,CACNA1C
Glycine betaine,BCL2
Manganese,TAB1
Manganese,TF
Tetryzoline,ADRA1A
Alcaftadine,HRH1
Cabazitaxel,TUBA4A
Cabazitaxel,TUBB1
Human calcitonin,ACTN1
Capsaicin,TRPV1
Dalteparin,VEGFA
Desoxycorticosterone acetate,NR3C2
Dimercaprol,APP
Halcinonide,SMO
Hexocyclium,CHRM1
Hexocyclium,CHRM3
Hydroxyprogesterone caproate,PGR
Lanreotide,SSTR2
Lanreotide,SSTR5
Methylnaltrexone,OPRK1
Nepafenac,PTGS1
Nepafenac,PTGS2
Plerixafor,CXCR4
Protokylol,ADRB2
Tinzaparin,ITGA4
Tinzaparin,CXCL12
4-BROMO-3-(CARBOXYMETHOXY)-5-[3-(CYCLOHEXYLAMINO)PHENYL]THIOPHENE-2-CARBOXYLIC ACID,PTPN1
2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE,PIK3CD
"2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL",ESR2
"2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL",NCOA1
"N-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1H-pyrrolo[2,3-b]pyridin-2-yl)-1H-indole-5-carboxamide",SYK
"N-(5-{4-Chloro-3-[(2-hydroxyethyl)sulfamoyl]phenyl}-4-methyl-1,3-thiazol-2-yl)acetamide",PIK3C3
(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one,PDE4A
(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one,PDE4D
"2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE",GNAS
"2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE",ADCY2
"2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE",ADCY5
"4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE",CDK2
4-[(3S)-1-AZABICYCLO[2.2.2]OCT-3-YLAMINO]-3-(1H-BENZIMIDAZOL-2-YL)-6-CHLOROQUINOLIN-2(1H)-ONE,CHEK1
6-fluoro-2-(2-hydroxy-3-isobutoxy-phenyl)-1H-benzoimidazole-5-carboxamidine,PLAU
6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE,PLAU
N-(4-CARBAMIMIDOYL-3-CHORO-PHENYL)-2-HYDROXY-3-IODO-5-METHYL-BENZAMIDE,PLAU
2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID,CASP3
"3,6,9,12,15,18-HEXAOXAICOSANE",PIN1
17-METHYL-17-ALPHA-DIHYDROEQUILENIN,ESR1
17-METHYL-17-ALPHA-DIHYDROEQUILENIN,NCOA2
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE,ESR2
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE,NCOA1
"N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE",CHEK1
"N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE",MAPK1
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea,SRC
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea,MAPK14
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea,SRC
"[(3S)-3-(Methylcarbamoyl)-2-{[(2-methyl-2-propanyl)oxy]carbonyl}-1,2,3,4-tetrahydro-7-isoquinolinyl]sulfamic acid",PTPN1
"(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE",CDK2
"(5S)-4,5-difluoro-6-[(2-fluoro-4-iodophenyl)imino]-N-(2-hydroxyethoxy)cyclohexa-1,3-diene-1-carboxamide",MAP2K1
"1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide",MET
"3-[3-chloro-5-(5-{[(1S)-1-phenylethyl]amino}isoxazolo[5,4-c]pyridin-3-yl)phenyl]propan-1-ol",PLK1
"4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol",ESR1
"4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol",NCOA2
"(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",PPP2R5C
"(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",PPP2CA
"(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",PPP2R1A
"(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID",NCOA1
"(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID",PPARG
"1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide",PDE4B
"1-({2-[2-(4-CHLOROPHENYL)ETHYL]-1,3-DIOXOLAN-2-YL}METHYL)-1H-IMIDAZOLE",HMOX1
Eribaxaban,F10
3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE,LCK
"(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid",PPARG
[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE,ESR2
[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE,NCOA1
[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE,ESR1
"10,11-dimethoxy-4-methyldibenzo[c,f]-2,7-naphthyridine-3,6-diamine",PDPK1
"4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL",ESR2
4-[[2-[[4-chloro-3-(trifluoromethyl)phenyl]amino]-3H-benzimidazol-5-yl]oxy]-N-methyl-pyridine-2-carboxamide,KDR
"N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide",MAPK14
(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol,ADAM17
N-(3-cyclopropyl-1H-pyrazol-5-yl)-2-(2-naphthyl)acetamide,CDK2
2-ANILINO-6-CYCLOHEXYLMETHOXYPURINE,CDK2
"N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE",HSP90AA1
"4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL",HSP90AA1
"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE",HSP90AA1
(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,PRKACA
(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,PKIA
"5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide",HSP90AA1
"3-[3-(3-methyl-6-{[(1S)-1-phenylethyl]amino}-1H-pyrazolo[4,3-c]pyridin-1-yl)phenyl]propanamide",PLK1
"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE",HSP90AA1
"2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide",HSP90AA1
"1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA",CDK2
(2S)-1-{[5-(1H-Indazol-5-yl)-3-pyridinyl]oxy}-3-(7aH-indol-3-yl)-2-propanamine,PRKACA
(2S)-2-(1H-indol-3-yl)hexanoic acid,SKP1
(2S)-2-(1H-indol-3-yl)pentanoic acid,SKP1
(2S)-8-[(tert-butoxycarbonyl)amino]-2-(1H-indol-3-yl)octanoic acid,SKP1
"(5-phenyl-7-(pyridin-3-ylmethylamino)pyrazolo[1,5-a]pyrimidin-3-yl)methanol",CDK2
"(1R,2R,3R,4S,5R)-4-(BENZYLAMINO)-5-(METHYLTHIO)CYCLOPENTANE-1,2,3-TRIOL",MAN2A1
